"Words","Count","global_stdev_ppb","range","global_freq_ppb"
"wherever",1,745896.2,0.00258143484628622,11274.46
"whisper",1,570801.14,0.00129407144466832,5826.891
"white",1,3731783,0.0352867985394229,329947.06
"wide",1,1989442.9,0.0119359507805024,72876.54
"wild",1,2344508,0.0141986036814902,88194.21
"william",1,1506270,0.00506460997816907,31472.969
"wind",2,2087085.3,0.0116649121136746,158115.3
"wing",2,1034695.7,0.00365563987432425,20848.795
"wings",1,2291577.6,0.00720117790237957,42159.86
"winters",1,597415.67,0.000809049952042177,3412.3516
"wise",4,1185713.9,0.00694820223415683,36169.29
"woes",1,367196.8,0.00134696754950447,8284.519
"wonder",5,3434258.3,0.0308018346835019,214301.05
"wondering",3,9176116,0.0225891288592398,120932.32
"wonders",8,1722965,0.00490354199475727,24402.777
"wondrous",4,243506.67,0.000234744031663912,1022.28046
"word",2,4426042,0.0359793384029525,298260.28
"words",1,2908005.4,0.02828347043193,196938.28
"world",14,11561448,0.0887083792395511,1002042.9
